,RANKING,TEAM,GOLD,SILVER,BRONZE,TOTAL
0,1,"
United States",100,44,42,126
1,2,"
China",40,27,24,91
2,3,"
Japan",20,12,13,45
3,4,"
Australia",18,19,16,53
4,5,"
France",16,26,22,64
5,6,"
Netherlands",15,7,12,34
6,7,"
Great Britain",14,22,29,65
7,8,"
South Korea",13,9,10,32
8,9,"
Italy",12,13,15,40
9,10,"
Germany",12,13,8,33
10,11,"
New Zealand",10,7,3,20
11,12,"
Canada",9,7,11,27
12,13,"
Uzbekistan",8,2,3,13
13,14,"
Hungary",6,7,6,19
14,15,"
Spain",5,4,9,18
15,16,"
Sweden",4,4,3,11
16,17,"
Kenya",4,2,5,11
17,18,"
Norway",4,1,3,8
18,19,"
Ireland",4,0,3,7
19,20,"
Brazil",3,7,10,20
20,21,"
Iran",3,6,3,12
21,22,"
Ukraine",3,5,4,12
22,23,"
Romania",3,4,2,9
23,24,"
Georgia",3,3,1,7
24,25,"
Belgium",100,1,6,10
25,26,"
Bulgaria",3,1,3,7
26,27,"
Serbia",3,1,1,5
27,28,"
Czechia",3,0,2,5
28,29,"
Denmark",2,2,5,9
29,30,"
Azerbaijan",2,2,3,7
30,30,"
Croatia",2,2,3,7
31,32,"
Cuba",2,1,6,9
32,33,"
Bahrain",2,1,1,4
33,34,"
Slovenia",2,1,0,3
34,35,"
Chinese Taipei",2,0,5,7
35,36,"
Austria",2,0,3,5
36,37,"
Hong Kong, China",2,0,2,4
37,37,"
Philippines",2,0,2,4
38,39,"
Algeria",2,0,1,3
39,39,"
Indonesia",2,0,1,3
40,41,"
Israel",1,5,1,7
41,42,"
Poland",1,4,5,10
42,43,"
Kazakhstan",1,3,3,7
43,44,"
Jamaica",1,3,2,6
44,44,"
South Africa",1,3,2,6
45,44,"
Thailand",1,3,2,6
46,47,"
Ethiopia",1,3,0,4
47,48,"
Switzerland",1,2,5,8
48,49,"
Ecuador",1,2,2,5
49,50,"
Portugal",1,2,1,4
50,51,"
Greece",1,1,6,8
51,52,"
Argentina",1,1,1,3
52,52,"
Egypt",1,1,1,3
53,52,"
Tunisia",1,1,1,3
54,55,"
Botswana",1,1,0,2
55,55,"
Chile",1,1,0,2
56,55,"
Saint Lucia",1,1,0,2
57,55,"
Uganda",1,1,0,2
58,59,"
Dominican Republic",1,0,2,3
59,60,"
Guatemala",1,0,1,2
60,60,"
Morocco",1,0,1,2
61,62,"
Dominica",1,0,0,1
62,62,"
Pakistan",1,0,0,1
63,64,"
Türkiye",0,3,5,8
64,65,"
Mexico",0,3,2,5
65,66,"
Armenia",0,3,1,4
66,66,"
Colombia",0,3,1,4
67,68,"
Kyrgyzstan",0,2,4,6
68,68,"
North Korea",0,2,4,6
69,70,"
Lithuania",0,2,2,4
70,71,"
India",0,1,5,6
71,72,"
Republic of Moldova",0,1,3,4
72,73,"
Kosovo",0,1,1,2
73,74,"
Cyprus",0,1,0,1
74,74,"
Fiji",0,1,0,1
75,74,"
Jordan",0,1,0,1
76,74,"
Mongolia",0,1,0,1
77,74,"
Panama",0,1,0,1
78,79,"
Tajikistan",0,0,3,3
79,80,"
Albania",0,0,2,2
80,80,"
Grenada",0,0,2,2
81,80,"
Malaysia",0,0,2,2
82,80,"
Puerto Rico",0,0,2,2
83,84,"
Côte d'Ivoire",0,0,1,1
84,84,"
Cape Verde",0,0,1,1
85,84,"
Refugee Olympic Team",0,0,1,1
86,84,"
Peru",0,0,1,1
87,84,"
Qatar",0,0,1,1
88,84,"
Singapore",0,0,1,1
89,84,"
Slovakia",0,0,1,1
90,84,"
Zambia",0,0,1,1
